Date,Price,Open,High,Low,Vol.,Change %
8/24/2018,1378.15,1396.50,1401.80,1376.25,3.29M,-0.01
8/23/2018,1397.40,1393.00,1401.50,1385.35,3.86M,0.01
8/21/2018,1383.95,1390.00,1396.00,1373.75,4.18M,0.00
8/20/2018,1384.25,1388.00,1407.95,1373.50,8.05M,-0.03
8/17/2018,1430.35,1430.90,1437.65,1423.00,3.20M,0.00
8/16/2018,1429.55,1414.95,1434.90,1411.25,3.31M,0.02
8/14/2018,1408.30,1413.95,1424.55,1404.00,3.08M,0.00
8/13/2018,1408.75,1390.00,1409.85,1378.70,4.99M,0.02
8/10/2018,1385.45,1385.80,1389.00,1373.05,2.39M,0.00
8/9/2018,1379.95,1373.65,1389.45,1373.65,3.20M,0.01
8/8/2018,1362.75,1371.80,1372.50,1353.30,2.00M,0.00
8/7/2018,1367.95,1374.00,1379.95,1360.65,3.68M,0.01
8/6/2018,1360.65,1366.05,1375.00,1347.50,3.09M,0.00
8/3/2018,1364.10,1366.20,1366.20,1356.00,1.99M,0.01
8/2/2018,1353.65,1359.60,1366.75,1350.15,2.97M,0.00
8/1/2018,1354.05,1363.80,1368.45,1351.00,2.34M,-0.01
7/31/2018,1365.10,1348.55,1370.00,1335.55,3.97M,0.01
7/30/2018,1351.00,1370.00,1373.00,1348.00,3.20M,-0.02
7/27/2018,1373.45,1373.20,1389.00,1368.30,3.25M,0.00
7/26/2018,1373.25,1378.55,1390.40,1369.20,3.68M,-0.01
7/25/2018,1383.75,1379.00,1393.80,1365.45,3.47M,0.00
7/24/2018,1377.15,1374.40,1382.40,1356.00,3.09M,0.02
7/23/2018,1355.95,1352.15,1368.00,1336.25,3.84M,0.01
7/20/2018,1348.10,1326.00,1367.15,1321.30,5.85M,0.02
7/19/2018,1316.70,1323.00,1331.90,1309.10,2.56M,0.00
7/18/2018,1322.55,1339.80,1343.40,1314.00,3.46M,0.00
7/17/2018,1327.90,1329.70,1349.50,1312.70,5.58M,0.00
7/16/2018,1332.85,1317.40,1384.40,1287.70,17.67M,0.01
7/13/2018,1317.40,1315.00,1331.60,1298.35,9.75M,0.02
7/12/2018,1294.35,1326.10,1327.10,1284.45,6.64M,-0.02
7/11/2018,1320.45,1317.55,1342.10,1291.35,5.95M,0.01
7/10/2018,1301.40,1308.50,1315.45,1294.30,2.99M,0.00
7/9/2018,1298.85,1297.00,1303.00,1279.05,3.32M,0.01
7/6/2018,1284.25,1290.25,1301.85,1269.00,5.61M,0.00
7/5/2018,1284.00,1347.10,1347.25,1268.10,8.51M,-0.05
7/4/2018,1345.20,1352.05,1352.65,1338.85,2.51M,-0.01
7/3/2018,1353.75,1331.90,1357.90,1331.75,4.06M,0.01
7/2/2018,1334.70,1314.00,1340.00,1314.00,2.42M,0.02
6/29/2018,1307.20,1298.05,1315.00,1283.25,4.98M,0.01
6/28/2018,1289.60,1276.30,1298.00,1276.25,5.50M,0.02
6/27/2018,1270.00,1283.95,1293.45,1265.60,3.48M,-0.01
6/26/2018,1277.85,1269.00,1283.90,1266.25,2.24M,0.00
6/25/2018,1272.45,1257.15,1278.80,1254.00,3.87M,0.02
6/22/2018,1247.85,1243.00,1255.50,1241.20,2.17M,0.00
6/21/2018,1246.55,1245.95,1256.50,1236.00,2.90M,0.00
6/20/2018,1243.15,1248.50,1252.35,1238.00,2.69M,0.00
6/19/2018,1241.60,1263.00,1263.40,1238.05,3.77M,-0.02
6/18/2018,1267.40,1284.00,1291.25,1262.35,4.11M,-0.01
6/15/2018,1281.25,1237.00,1291.50,1235.00,9.98M,0.03
6/14/2018,1239.70,1253.00,1253.00,1234.10,3.80M,-0.02
6/13/2018,1264.80,1256.86,1273.93,1256.86,2.88M,0.01
6/12/2018,1248.63,1255.82,1261.28,1240.64,3.92M,0.00
6/11/2018,1252.50,1255.62,1260.04,1245.20,2.59M,0.00
6/8/2018,1250.17,1238.21,1252.10,1236.28,3.23M,0.01
6/7/2018,1242.63,1228.29,1248.13,1228.29,3.34M,0.01
6/6/2018,1227.74,1215.59,1231.81,1210.48,2.02M,0.01
6/5/2018,1211.27,1232.26,1232.26,1207.45,2.36M,-0.02
6/4/2018,1229.68,1211.52,1233.25,1202.49,2.14M,0.01
6/1/2018,1220.80,1230.40,1246.25,1217.20,2.50M,-0.01
5/31/2018,1231.80,1211.70,1242.00,1210.25,9.86M,0.02
5/30/2018,1211.70,1217.00,1228.75,1205.60,3.16M,0.00
5/29/2018,1216.70,1214.05,1226.55,1206.20,1.69M,0.00
5/28/2018,1214.40,1231.00,1232.60,1206.00,2.87M,-0.01
5/25/2018,1228.30,1230.10,1248.65,1220.80,4.45M,0.01
5/24/2018,1221.00,1198.00,1227.55,1198.00,4.87M,0.03
5/23/2018,1184.90,1195.00,1207.65,1181.50,4.77M,-0.01
5/22/2018,1193.85,1175.00,1198.00,1173.90,2.82M,0.01
5/21/2018,1179.50,1179.55,1188.40,1170.00,4.24M,0.00
5/18/2018,1183.20,1183.00,1186.55,1173.00,3.57M,0.00
5/17/2018,1182.90,1196.00,1197.45,1173.55,4.76M,-0.01
5/16/2018,1189.95,1187.25,1198.00,1184.50,3.10M,0.00
5/15/2018,1194.55,1188.10,1208.00,1188.10,2.81M,0.00
5/14/2018,1189.30,1184.35,1191.50,1170.00,2.22M,0.01
5/11/2018,1180.75,1172.30,1183.20,1166.05,1.66M,0.01
5/10/2018,1168.00,1176.00,1183.00,1162.85,1.59M,0.00
5/9/2018,1170.70,1167.50,1176.90,1163.00,1.89M,0.00
5/8/2018,1165.55,1177.90,1177.90,1161.05,2.86M,-0.01
5/7/2018,1183.00,1181.25,1190.00,1175.50,2.32M,0.01
5/4/2018,1173.10,1185.00,1186.00,1155.00,3.01M,-0.01
5/3/2018,1182.55,1197.25,1204.70,1176.10,2.67M,-0.01
5/2/2018,1197.05,1198.90,1201.60,1181.00,5.15M,0.00
4/30/2018,1199.50,1181.70,1207.95,1180.65,2.76M,0.01
4/27/2018,1185.20,1180.00,1191.60,1174.20,3.83M,0.01
4/26/2018,1176.45,1174.00,1181.65,1160.00,5.65M,0.01
4/25/2018,1160.35,1152.00,1171.00,1145.20,5.80M,0.01
4/24/2018,1154.50,1185.00,1196.40,1150.10,4.26M,-0.03
4/23/2018,1187.70,1168.00,1214.40,1155.25,10.92M,0.01
4/20/2018,1178.45,1139.00,1193.70,1136.95,12.14M,0.04
4/19/2018,1132.85,1124.00,1139.80,1123.10,4.26M,0.01
4/18/2018,1125.95,1122.85,1134.75,1113.85,5.22M,0.00
4/17/2018,1125.20,1127.00,1127.40,1115.00,5.20M,-0.01
4/16/2018,1133.20,1102.00,1140.00,1102.00,12.37M,-0.03
4/13/2018,1171.45,1174.00,1185.90,1150.25,10.61M,0.01
4/12/2018,1162.60,1129.45,1172.75,1125.00,8.52M,0.03
4/11/2018,1124.25,1118.00,1131.50,1116.50,4.51M,0.01
4/10/2018,1113.40,1112.00,1124.50,1105.40,4.46M,0.00
4/9/2018,1111.25,1125.00,1125.80,1106.55,3.60M,-0.01
4/6/2018,1127.00,1143.00,1146.00,1122.10,2.97M,-0.02
4/5/2018,1147.55,1139.55,1151.30,1129.10,3.88M,0.02
4/4/2018,1124.20,1144.00,1144.55,1120.00,2.41M,-0.01
